asv	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_09182	Bacteria	Pseudomonadota	Alphaproteobacteria	Kiloniellales	Kiloniellaceae	NA	NA
ASV_09183	Bacteria	Chlamydiota	Chlamydiia	Chlamydiales	cvE6	NA	NA
ASV_09184	Bacteria	Chloroflexota	Anaerolineae	Anaerolineales	Anaerolineaceae	NA	NA
ASV_09185	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA	NA
ASV_09186	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	NA	NA	NA
ASV_09187	Bacteria	Pseudomonadota	Gammaproteobacteria	NA	NA	NA	NA
ASV_09188	Bacteria	Patescibacteria	Microgenomatia	Candidatus Woesebacteria	NA	NA	NA
ASV_09189	Bacteria	Chlamydiota	Chlamydiia	Chlamydiales	Simkaniaceae	NA	NA
ASV_09190	Bacteria	Pseudomonadota	Gammaproteobacteria	Coxiellales	Coxiellaceae	Coxiella	NA
ASV_09191	Bacteria	Myxococcota	Polyangiia	NA	NA	NA	NA
ASV_09192	Bacteria	Acidobacteriota	Acidobacteriae	PAUC26f	NA	NA	NA
ASV_09193	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Spongiibacteraceae	NA	NA
ASV_09194	Bacteria	Pseudomonadota	Gammaproteobacteria	Nitrosococcales	Methylophagaceae	NA	NA
ASV_09195	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	NA
ASV_09196	Bacteria	Pseudomonadota	Gammaproteobacteria	NA	NA	NA	NA
ASV_09197	Bacteria	Dependentiae	Babeliae	Babeliales	Vermiphilaceae	NA	NA
ASV_09198	Bacteria	Verrucomicrobiota	Omnitrophia	Omnitrophales	koll11	NA	NA
ASV_09199	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	NA	NA	NA
ASV_09200	Bacteria	Acidobacteriota	Subgroup 21	NA	NA	NA	NA
ASV_09201	Bacteria	Pseudomonadota	Gammaproteobacteria	NA	NA	NA	NA
ASV_09202	Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Subgroup 10	NA
ASV_09203	Bacteria	Dependentiae	Babeliae	Babeliales	Vermiphilaceae	NA	NA
ASV_09204	Bacteria	Nitrospinota	Nitrospinia	Nitrospinales	Nitrospinaceae	Nitrospina	NA
ASV_09205	Bacteria	Bdellovibrionota	Oligoflexia	Oligoflexales	Oligoflexaceae	NA	NA
ASV_09206	Bacteria	Bdellovibrionota	Oligoflexia	Oligoflexales	Oligoflexaceae	NA	NA
ASV_09207	Bacteria	Pseudomonadota	Gammaproteobacteria	Rickettsiellales	Rickettsiellaceae	Rickettsiella	NA
ASV_09208	Bacteria	Pseudomonadota	Gammaproteobacteria	NA	NA	NA	NA
ASV_09209	Bacteria	Pseudomonadota	Alphaproteobacteria	Micavibrionales	Micavibrionaceae	NA	NA
ASV_09210	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	NA	NA
ASV_09211	Bacteria	Acidobacteriota	Vicinamibacteria	Subgroup 17	NA	NA	NA
ASV_09212	Bacteria	Pseudomonadota	Gammaproteobacteria	NA	NA	NA	NA
ASV_09213	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Pseudahrensia	NA
ASV_09214	Bacteria	Pseudomonadota	Alphaproteobacteria	NA	NA	NA	NA
ASV_09215	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	SM1A02	NA
ASV_09216	Bacteria	Pseudomonadota	Alphaproteobacteria	Micavibrionales	Micavibrionaceae	NA	NA
ASV_09217	Bacteria	Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	Blastocatella	NA
ASV_09218	Bacteria	Pseudomonadota	Gammaproteobacteria	Arenicellales	Arenicellaceae	Arenicella	NA
ASV_09219	Bacteria	Chloroflexota	Chloroflexia	Thermomicrobiales	AKYG1722	NA	NA
ASV_09220	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	NA
ASV_09221	Bacteria	Planctomycetota	OM190	NA	NA	NA	NA
ASV_09222	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Portibacter	NA
ASV_09223	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	NA	NA
ASV_09224	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA	NA
ASV_09225	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	NA	NA
